Лист,Строка,SKU,Наименование,Колонка RU,SEO Описание RU,Колонка EN,SEO Описание EN
Охлажденная,19,KD-028,Ветчина из Индейки,S,"Ветчина из Индейки (500 г) | Диетическая ветчина из мяса индейки высшего качества — халяль | Натуральная ветчина из нежного мяса индейки с выраженным волокнистым срезом и тонким ароматом специй. | Ветчина из Индейки от «Казанских Деликатесов» — полезный диетический продукт с высоким содержанием легкоусвояемого белка и минимальным содержанием жира. Изготавливается из крупнокускового мяса индейки с деликатным букетом специй. Обладает плотной сочной текстурой и натуральным благородным вкусом птицы. Идеальна для здорового питания, мясных тарелок, тостов и ресторанной подачи. Халяль ДУМ РТ.",T,"Turkey Ham (500g) | Lean and Delicate Halal Turkey Ham for Sandwiches and Catering | Natural ham made from selected turkey meat with a distinct fibrous texture and subtle aromatic herbs. | Turkey Ham by Kazan Delicacies is a premium lean poultry product rich in protein and low in fat. Prepared from whole-muscle turkey cuts seasoned with a mild spice blend, it delivers a tender yet firm bite. A healthy, versatile choice for gourmet sandwiches, cold cuts platters, and fitness-oriented menus. Certified Halal, 500g."
Охлажденная,20,KD-029,Ветчина Мраморная с говядиной,S,"Ветчина «Мраморная» с говядиной (500 г) | Премиальная ветчина с красивым мясным рисунком — халяль | Сочная ветчина из отборной говядины и куриного филе с выразительным мраморным срезом и богатым вкусом. | Ветчина «Мраморная» с говядиной от «Казанских Деликатесов» отличается аппетитным контрастным рисунком на срезе, составленным из кусочков темной говядины и светлого куриного филе. Плотная ветчинная структура, умеренная пряность и сочность делают ее прекрасным выбором для праздничной банкетной нарезки, сэндвичей премиум-класса и витрин гастрономов. Соответствует строгим стандартам Халяль.",T,"Marbled Beef Ham (500g) | Premium Halal Deli Ham with Distinct Marbled Texture | Juicy ham combining rich beef chunks and tender chicken fillet, showcasing a picturesque marbled cross-section. | Marbled Beef Ham by Kazan Delicacies combines the deep savory flavor of beef with the tenderness of poultry. Its attractive mosaic appearance makes it a standout centerpiece on deli platters, breakfast displays, and gourmet panini. Seasoned with natural aromatics under strict Halal supervision. 30 days shelf life at 0–6°C."
Охлажденная,21,KD-030,Ветчина из Курицы,S,"Ветчина из Курицы (500 г) | Сочная ветчина из филе и окорочков цыплят — халяль | Нежная куриная ветчина крупного помола с аппетитным ароматом специй. Прекрасная основа для сэндвичей и закусок. | Ветчина из Курицы от «Казанских Деликатесов» производится из сочетания сочной мякоти куриных окорочков и диетического филе грудки. Плотный кусочный срез, мягкая солоноватость и сбалансированный букет специй создают легкий, но насыщенный вкус. Подходит для быстрого приготовления тостов, пиццы, салатов и утренней сервировки в отелях. 100% халяль, фасовка 500 г в вакууме.",T,"Chicken Ham (500g) | Juicy Halal Ham from Chicken Fillet and Thigh Meat | Tender poultry ham with a textured cut and pleasant aromatic spices. A classic foundation for delis and catering. | Chicken Ham by Kazan Delicacies is prepared from a blend of succulent chicken thigh meat and lean breast fillets. It features an appealing textured slice, balanced salinity, and gentle herb seasoning. A great everyday ingredient for pizzerias, grab-and-go sandwich bars, and hotel breakfast spreads. Certified Halal by MSB Tatarstan."
Охлажденная,23,KD-031,Сервелат Ханский,S,"Сервелат «Ханский» (450 г) | Благородный копченый сервелат с мелкозернистым срезом — халяль | Ароматный сервелат из отборного халяльного мяса с мускатным орехом и натуральным копчением на буковой щепе. | Сервелат «Ханский» от «Казанских Деликатесов» — традиционная праздничная колбаса с классическим мелкозернистым рисунком. Насыщенный мясной вкус дополнен букетом пряностей с акцентом на мускатный орех, белый перец и чеснок. Копчение на натуральной древесной щепе придает колбасе аппетитную золотисто-коричневую корочку и стойкий благородный аромат. Идеален для ресторанных мясных ассорти и деликатесных витрин.",T,"Khan Cervelat (450g) | Fine-Grained Smoked Halal Cervelat Sausage | Aromatic smoked cervelat crafted from select Halal meats, seasoned with nutmeg and gently smoked over natural beechwood. | Khan Cervelat by Kazan Delicacies represents a traditional banquet-style smoked sausage with an iconic fine-grained mosaic. Its rich meaty taste is accentuated by a warm spice profile featuring nutmeg, white pepper, and garlic. Natural smoke curing imparts a golden rind and deep aroma. Certified Halal, an outstanding item for upscale charcuterie boards."
Охлажденная,25,KD-033,Полукопченая из Индейки,S,"Колбаса полукопченая из Индейки (450 г) | Легкая полукопченая колбаса из диетического мяса индейки — халяль | Сочная полукопченая колбаса с деликатным мясным вкусом индейки и легкой дымной ноткой. | Полукопченая колбаса из Индейки от «Казанских Деликатесов» — прекрасная альтернатива традиционным жирным колбасам. Изготавливается из качественного мяса индейки с добавлением тонко подобранных специй. Обладает приятной упругой структурой, чистым мясным ароматом и аппетитным копченым оттенком. Идеальна для бутербродов, солянок, пиццы и закусок на каждый день. Сертифицированный халяльный продукт.",T,"Semi-Smoked Turkey Sausage (450g) | Light and Savory Semi-Smoked Halal Turkey Sausage | Tender semi-smoked sausage made from lean turkey meat with a gentle hint of natural smoke and aromatic herbs. | Semi-Smoked Turkey Sausage by Kazan Delicacies offers a lighter, leaner charcuterie option. Crafted from quality turkey meat and seasoned with mild spices before gentle smoking, it provides a firm bite and clean savory flavor. Perfect for daily deli sandwiches, hearty soups, and pizza toppings. Certified Halal by MSB Tatarstan, 450g."
Охлажденная,26,KD-034,Полукопченая из Говядины,S,"Колбаса полукопченая «Из Говядины» (450 г) | Плотная полукопченая колбаса из натуральной говядины — халяль | Сытная колбаса с выраженным вкусом зрелой говядины, чесноком и черным перцем, копченая на щепе. | Полукопченая колбаса «Из Говядины» от «Казанских Деликатесов» — выбор тех, кто ценит насыщенный традиционный мясной вкус. Изготовлена из отборной говядины с добавлением чеснока, черного перца и кориандра. Плотный срез, умеренная пряность и благородный аромат натурального копчения делают ее универсальной для мясных тарелок, перекусов и горячих блюд. Гарантия соблюдения канонов Халяль.",T,"Semi-Smoked Beef Sausage (450g) | Robust Halal Semi-Smoked Sausage Made from Premium Beef | Hearty semi-smoked beef sausage seasoned with cracked black pepper, garlic, and coriander over natural wood smoke. | Semi-Smoked Beef Sausage by Kazan Delicacies delivers an authentic, full-bodied beef flavor for meat lovers. Prepared with selected beef cuts and aromatic spices, it features a firm texture and rich mahogany smoke rind. Excellent for charcuterie platters, hearty sandwiches, and warm culinary dishes. 100% Halal certified."
Охлажденная,27,KD-036,в/к Рамазан,S,"Колбаса варено-копченая «Рамазан» (540 г) | Праздничная варено-копченая колбаса по восточным мотивам — халяль | Ароматная варено-копченая колбаса из филе птицы с добавлением говядины и пряного восточного букета специй. | Варено-копченая колбаса «Рамазан» от «Казанских Деликатесов» — популярный халяльный деликатес, названный в честь священного месяца. Отличается выразительным пряным ароматом, красивым мраморным срезом и мягким копченым послевкусием. Станет украшением любого стола, праздничного угощения, шведского стола и ресторанного меню. Производится в Казани под контролем ДУМ РТ.",T,"Cooked-Smoked Sausage ""Ramazan"" (540g) | Traditional Halal Cooked-Smoked Sausage with Oriental Spices | Richly seasoned cooked-smoked sausage combining tender poultry fillet with beef and an aromatic spice blend. | Cooked-Smoked Sausage ""Ramazan"" by Kazan Delicacies is a celebrated Halal delicacy honoring festive hospitality. It showcases a firm yet juicy texture, delicate smokiness, and an intricate balance of natural spices. A staple for family celebrations, banquet platters, and halal retail counters. Certified Halal by MSB Tatarstan, 540g."
Охлажденная,28,KD-037,в/к Рамазан (половинка),S,"Колбаса варено-копченая «Рамазан», половинка (270 г) | Удобный порционный формат любимой колбасы «Рамазан» — халяль | Половинка батона популярной варено-копченой колбасы в вакууме. Отличный выбор для домашнего стола и небольших заказов. | Варено-копченая колбаса «Рамазан» в формате половинки (270 г) сохраняет все вкусовые качества классического батона: аппетитный пряный букет, сочную консистенцию и благородный древесный дымок. Компактная вакуумная упаковка удобна для розничных покупателей и позволяет оценить привлекательный срез продукта прямо на полке. 100% халяль, производство Казань.",T,"Cooked-Smoked Sausage ""Ramazan"", Half Stick (270g) | Convenient Retail Half-Stick Format of ""Ramazan"" Halal Sausage | Half-stick vacuum portion of the popular cooked-smoked sausage with visible marble cross-section and aromatic spices. | Cooked-Smoked Sausage ""Ramazan"" in a 270g half-stick pack offers the identical premium recipe in an accessible, single-household size. With its appetizing smoke aroma and oriental spice profile, it provides convenience for retail display and fast table service. Certified Halal by MSB Tatarstan."
Охлажденная,29,KD-038,в/к Мраморная,S,"Колбаса варено-копченая «Мраморная» (540 г) | Эстетичная варено-копченая колбаса с мозаичным рисунком — халяль | Деликатесная варено-копченая колбаса из филе птицы и говядины с выразительным мраморным рисунком на срезе. | Варено-копченая колбаса «Мраморная» от «Казанских Деликатесов» привлекает внимание благородным мозаичным срезом и гармоничным мясным вкусом. Натуральное копчение на древесной щепе придает колбасе аппетитную золотистую корочку и манящий аромат. Плотная структура обеспечивает идеальную тонкую нарезку для фуршетов, бутербродов и пиццы. Сертифицировано по канонам Халяль ДУМ РТ.",T,"Cooked-Smoked Marbled Sausage (540g) | Gourmet Cooked-Smoked Halal Sausage with Mosaic Marble Texture | Elegant cooked-smoked sausage featuring an attractive marbled cross-section and refined hardwood smoke aroma. | Cooked-Smoked Marbled Sausage from Kazan Delicacies combines poultry fillet with beef protein to achieve a signature mosaic texture. Naturally smoked over hardwood chips, it exhibits a golden rind and deep savory aroma. Slices cleanly for catering buffets, charcuterie boards, and pizzas. Fully certified Halal, 540g."
Охлажденная,30,KD-039,в/к Мраморная (половинка),S,"Колбаса варено-копченая «Мраморная», половинка (270 г) | Порционный формат варено-копченой колбасы «Мраморная» — халяль | Половинка батона с открытым демонстрационным срезом в вакуумной упаковке. Идеально для розницы и быстрого перекуса. | Варено-копченая колбаса «Мраморная» (половинка 270 г) от «Казанских Деликатесов» предлагает премиальный вкус и безупречный срез в компактной упаковке. Продукт готов к употреблению, легко режется на слайсы и украсит любую мясную тарелку. Натуральные ингредиенты, отсутствие свинины и ГМО, строгий контроль Халяль.",T,"Cooked-Smoked Marbled Sausage, Half Stick (270g) | Retail Half-Stick Portion of Marbled Halal Cooked-Smoked Sausage | Practical vacuum-sealed half-stick displaying the appetizing mosaic cross-section of Marbled sausage. | Cooked-Smoked Marbled Sausage in a 270g half-stick pack delivers the same artisanal wood-smoked quality in an easy retail size. Ready to slice for sandwiches, snack plates, and charcuterie platters. 100% Halal certified, produced in Kazan under ISO 22000 and HACCP standards."
Охлажденная,31,KD-040,в/к Филейный,S,"Колбаса варено-копченая «Филейный» (540 г) | Нежная варено-копченая колбаса из филе грудок и говядины — халяль | Высококачественная варено-копченая колбаса на основе куриного филе с добавлением говядины и ароматных специй. | Варено-копченая колбаса «Филейный» от «Казанских Деликатесов» отличается преобладанием цельного белого мяса птицы, что делает ее менее жирной и особенно нежной. Говядина и натуральные специи (перец, кориандр, чеснок) придают фаршу аппетитную плотность и насыщенный букет. Идеальна для бутербродов, мясной нарезки и горячих блюд. Сертифицировано Халяль.",T,"Cooked-Smoked Fillet Sausage (540g) | Tender Cooked-Smoked Halal Sausage from Chicken Breast and Beef | High-quality poultry fillet sausage with beef accents, seasoned with coriander and natural smoke. | Cooked-Smoked Fillet Sausage by Kazan Delicacies is made primarily from tender chicken breast meat complemented by beef for added depth. The lean formulation produces a tender, springy bite with balanced seasoning. A versatile choice for breakfast platters, baguettes, and savory cooking. Certified Halal by MSB Tatarstan, 540g."
Охлажденная,32,KD-041,в/к Филейный (половинка),S,"Колбаса варено-копченая «Филейный», половинка (270 г) | Удобная половинка нежной варено-копченой колбасы — халяль | Порционный формат колбасы из куриного филе в вакуумной упаковке с открытым срезом. | Половинка варено-копченой колбасы «Филейный» (270 г) от «Казанских Деликатесов» — компактный формат популярного продукта. Прозрачная вакуумная упаковка демонстрирует аппетитный плотный срез без пустот. Мягкий копченый аромат и умеренная соленость делают ее любимым выбором для быстрых завтраков и перекусов. 100% халяль, сделано в Казани.",T,"Cooked-Smoked Fillet Sausage, Half Stick (270g) | Convenient Half-Stick of Halal Cooked-Smoked Fillet Sausage | Single-household portion of lean chicken breast and beef sausage sealed in transparent vacuum packaging. | Cooked-Smoked Fillet Sausage in a 270g half-stick pack provides premium quality and portion control. Its lean composition and mild seasoning appeal to health-conscious diners and busy families alike. Guaranteed Halal, vacuum sealed for optimal freshness."
Охлажденная,33,KD-042,в/к Княжеская,S,"Колбаса варено-копченая «Княжеская» (540 г) | Изысканная варено-копченая колбаса с богатым вкусом — халяль | Премиальная варено-копченая колбаса из филе птицы с тонким ароматом натурального копчения и букетом специй. | Варено-копченая колбаса «Княжеская» от «Казанских Деликатесов» создана по оригинальной рецептуре для ценителей выразительных мясных вкусов. Сочетание нежного куриного филе, говяжьего белка и ароматных экстрактов пряностей рождает насыщенный пикантный профиль. Отлично держит срез, подходит для сервировки стола, канапе и сэндвичей. Соответствует всем требованиям стандарта Халяль ДУМ РТ.",T,"Cooked-Smoked Sausage ""Knyazheskaya"" (540g) | Royal Recipe Cooked-Smoked Halal Sausage with Rich Aromas | Premium cooked-smoked sausage prepared from tender poultry fillet with robust savory seasonings. | Cooked-Smoked Sausage ""Knyazheskaya"" by Kazan Delicacies offers an exquisite savory profile crafted for discerning palates. Blending poultry fillet with natural spice extracts and hardwood smoke, it exhibits a dense texture and deep appetizing aroma. An impressive addition to deli counters and gourmet buffet setups. Certified Halal, 540g."
Охлажденная,34,KD-043,в/к Княжеская (половинка),S,"Колбаса варено-копченая «Княжеская», половинка (270 г) | Порционный формат премиальной колбасы «Княжеская» — халяль | Половинка батона изысканной варено-копченой колбасы в вакууме. Отличное решение для компактной покупки. | Половинка варено-копченой колбасы «Княжеская» (270 г) от «Казанских Деликатесов» сохраняет фирменный аромат и благородный вкус полноразмерного батона. Герметичная вакуумная упаковка защищает сочность продукта и подчеркивает привлекательный срез. Прекрасно подойдет для бутербродов, пиццы и праздничной тарелки. Сертификат Халяль ДУМ РТ.",T,"Cooked-Smoked Sausage ""Knyazheskaya"", Half Stick (270g) | Retail Half-Stick of ""Knyazheskaya"" Halal Cooked-Smoked Sausage | Half-stick vacuum portion of premium cooked-smoked sausage featuring rich savory notes. | Cooked-Smoked Sausage ""Knyazheskaya"" in a 270g half-stick pack provides the identical artisanal wood-smoked taste in an accessible format. It slices effortlessly for appetizers, breakfast toast, and quick paninis. Certified Halal by MSB Tatarstan, produced under strict hygiene controls."
Охлажденная,36,KD-044,Казылык «Премиум» в подарочной упаковке,S,"Казылык «Премиум» в подарочной упаковке (200 г) | Традиционный татарский сыровяленый казылык из конины — халяль | Аутентичный сыровяленый казылык высшего качества в презентабельной подарочной коробке. Гордость национальной татарской кухни. | Казылык «Премиум» от «Казанских Деликатесов» — легендарный деликатес из отборного конского мяса, приготовленный по вековым традициям татарских мастеров. В составе только отборная конина, конский жир, чеснок и молотый черный перец. Длительное естественное вяление формирует глубокий благородный вкус и плотную структуру. Элегантная подарочная упаковка делает продукт идеальным сувениром и подарком. 100% халяль, срок годности 180 суток.",T,"Premium Horse Meat Kazylyk in Gift Box (200g) | Authentic Tatar Dry-Cured Horse Sausage — Certified Halal | Traditional artisan dry-cured kazylyk sausage presented in an elegant gift box. The crown jewel of Tatar culinary heritage. | Premium Kazylyk by Kazan Delicacies is an iconic delicacy made from prime cuts of selected horse meat following ancestral Tatar recipes. Seasoned purely with natural garlic, black pepper, and salt, it undergoes gentle slow curing to develop an intense savory bouquet and dense, sliceable texture. Packaged in a refined gift box, it is a distinguished gourmet souvenir and culinary gift. Certified Halal, 180-day shelf life."
