sku,name_ru,name_en,status
KD-030,Ветчина из Курицы,Chicken Ham,approved-by-delegation 2026-09-12
KD-031,Сервелат Ханский,Khan Cervelat,approved-by-delegation 2026-09-12
KD-032,Сервелат по-татарски в/к,Tatar-Style Smoked Cervelat,approved-by-delegation 2026-09-12
KD-033,Полукопченая из Индейки,Semi-Smoked Turkey Sausage,approved-by-delegation 2026-09-12
KD-034,Полукопченая из Говядины,Semi-Smoked Beef Sausage,approved-by-delegation 2026-09-12
KD-036,в/к Рамазан,Ramazan Smoked Sausage,approved-by-delegation 2026-09-12
KD-037,в/к Рамазан (половинка),Ramazan Smoked Sausage (half),approved-by-delegation 2026-09-12
KD-038,в/к Мраморная,Marbled Smoked Sausage,approved-by-delegation 2026-09-12
KD-039,в/к Мраморная (половинка),Marbled Smoked Sausage (half),approved-by-delegation 2026-09-12
KD-040,в/к Филейный,Fillet Smoked Sausage,approved-by-delegation 2026-09-12
KD-041,в/к Филейный (половинка),Fillet Smoked Sausage (half),approved-by-delegation 2026-09-12
KD-042,в/к Княжеская,Knyazheskaya Smoked Sausage,approved-by-delegation 2026-09-12
KD-043,в/к Княжеская (половинка),Knyazheskaya Smoked Sausage (half),approved-by-delegation 2026-09-12
KD-044,Казылык «Премиум» в подарочной упаковке,"Kazylyk Premium (gift box, horse meat)",approved-by-delegation 2026-09-12
KD-045,Казылык «Премиум» в нарезке в подарочной упаковке,"Kazylyk Premium Sliced (gift box, horse meat)",approved-by-delegation 2026-09-12
KD-046,Губадия с кортом,Gubadiya with Kort (Tatar layered pie),approved-by-delegation 2026-09-12
KD-047,Чебурек жареный,Fried Cheburek,approved-by-delegation 2026-09-12
KD-048,Перемяч жареный,Fried Peremyach (Tatar meat pie),approved-by-delegation 2026-09-12
KD-049,Самса с курицей,Chicken Samsa,approved-by-delegation 2026-09-12
KD-050,Эчпочмак с говядиной и картофелем,Echpochmak with Beef & Potato (Tatar triangle pie),approved-by-delegation 2026-09-12
KD-051,Самса с говядиной,Beef Samsa,approved-by-delegation 2026-09-12
KD-052,Элеш с курицей и картофелем,Elesh with Chicken & Potato (Tatar pie),approved-by-delegation 2026-09-12
KD-053,Чак-Чак в пластиковой упаковке,Chak-Chak (plastic pack),approved-by-delegation 2026-09-12
KD-054,Чак-Чак в крафтовой подарочной упаковке,Chak-Chak (craft gift box),approved-by-delegation 2026-09-12
KD-055,Сочник с творогом,Cottage Cheese Sochnik,approved-by-delegation 2026-09-12
KD-056,Пирожок печеный с картофелем,Baked Potato Pie,approved-by-delegation 2026-09-12
KD-057,Сырник,Syrnik (cottage cheese pancake),approved-by-delegation 2026-09-12
KD-058,Пирожок с яблоком,Apple Pie,approved-by-delegation 2026-09-12
KD-059,Пирожок с зеленым луком и яйцом,Spring Onion & Egg Pie,approved-by-delegation 2026-09-12
KD-060,Маффин апельсиновый,Orange Muffin,approved-by-delegation 2026-09-12
KD-061,Сосиска в тесте,Sausage Roll,approved-by-delegation 2026-09-12
KD-062,Пирожок с вишней,Cherry Pie,approved-by-delegation 2026-09-12
KD-063,Круассан с шоколадом и орехами,Chocolate & Nut Croissant,approved-by-delegation 2026-09-12
KD-064,Маффин шоколадный,Chocolate Muffin,approved-by-delegation 2026-09-12
