id	title	description	link	image_link	additional_image_link	availability	price	sale_price	brand	gtin	mpn	condition	identifier_exists	google_product_category	product_type	shipping_weight	multipack	is_bundle	age_group	adult	country_of_origin	manufacturer	custom_label_0	custom_label_1	custom_label_2	custom_label_3	custom_label_4
KD-011	Halal Sliced Chicken Ham 0.5 kg — Kazan Delicacies	Halal Sliced Chicken Ham 0.5 kg — Kazan Delicacies. SKU: KD-011. Article: 995009. Catalog classification: Frozen Products / Toppings. Net weight: 0.5 kg. Shelf life: 30 суток. Storage: 0-6 ˚C. HS code: 160100. Manufacturer: Kazan Delicacies LLC, Kazan, Russia. Halal certificate DUM RT No. 614A/2024. Current availability, commercial terms, destination requirements and supporting documents are confirmed for the selected SKU on request.	https://pepperoni.tatar/en/products/kd-011	https://pepperoni.tatar/images/products/kd-011-main.jpg?v=ba1ac336	https://pepperoni.tatar/images/products/kd-011-pack.jpg?v=4b8daa83,https://pepperoni.tatar/images/products/kd-011-slice.jpg?v=640348f0	in_stock	188.00 RUB		Kazan Delicacies	4680638721391	995009	new	yes	420	Frozen Products > Toppings > Halal Sliced Chicken Ham 0.5 kg — Kazan Delicacies	0.500 kg		no	adult	no	RU	Kazan Delicacies	halal	frozen	Toppings		halal-#614A/2024
KD-013	Halal Cooked-smoked chicken pepperoni 0.5 kg — Kazan Delicacies	Halal Cooked-smoked chicken pepperoni 0.5 kg — Kazan Delicacies. SKU: KD-013. Catalog classification: Frozen Products / Toppings. Net weight: 0.5 kg. Shelf life: 360 суток. Storage: –18°C. Diameter: 50-55 mm. HS code: 160100. Manufacturer: Kazan Delicacies LLC, Kazan, Russia. Halal certificate DUM RT No. 614A/2024. Current availability, commercial terms, destination requirements and supporting documents are confirmed for the selected SKU on request.	https://pepperoni.tatar/en/products/kd-013	https://pepperoni.tatar/images/products/kd-013-main.jpg?v=ead0a132	https://pepperoni.tatar/images/products/kd-013-pack.jpg?v=74fb72be,https://pepperoni.tatar/images/products/kd-013-slice.jpg?v=bc0061ef	in_stock	274.00 RUB		Kazan Delicacies	4680638720318	KD-013	new	yes	420	Frozen Products > Toppings > Halal Cooked-smoked chicken pepperoni 0.5 kg — Kazan Delicacies	0.500 kg		no	adult	no	RU	Kazan Delicacies	halal	frozen	Toppings		halal-#614A/2024
KD-014	Halal Cooked-smoked chicken pepperoni whole stick 1 kg — Kazan Delicacies	Halal Cooked-smoked chicken pepperoni whole stick 1 kg — Kazan Delicacies. SKU: KD-014. Catalog classification: Frozen Products / Toppings. Net weight: 0.8 kg. Shelf life: 360 суток. Storage: –18°C. Diameter: 50-55 mm. HS code: 160100. Manufacturer: Kazan Delicacies LLC, Kazan, Russia. Halal certificate DUM RT No. 614A/2024. Current availability, commercial terms, destination requirements and supporting documents are confirmed for the selected SKU on request.	https://pepperoni.tatar/en/products/kd-014	https://pepperoni.tatar/images/products/kd-014-main.jpg?v=0a4688a0	https://pepperoni.tatar/images/products/kd-014-pack.jpg?v=ff0e301b,https://pepperoni.tatar/images/products/kd-014-slice.jpg?v=bc0061ef	in_stock	457.00 RUB		Kazan Delicacies	4680638720462	KD-014	new	yes	420	Frozen Products > Toppings > Halal Cooked-smoked chicken pepperoni whole stick 1 kg — Kazan Delicacies	0.800 kg		no	adult	no	RU	Kazan Delicacies	halal	frozen	Toppings		halal-#614A/2024
KD-015	Halal Cooked-smoked chicken breast 1 kg — Kazan Delicacies	Halal Cooked-smoked chicken breast 1 kg — Kazan Delicacies. SKU: KD-015. Catalog classification: Frozen Products / Toppings. Net weight: 1 kg. Shelf life: 30 суток. Storage: 0-6 ˚C. HS code: 160100. Manufacturer: Kazan Delicacies LLC, Kazan, Russia. Halal certificate DUM RT No. 614A/2024. Current availability, commercial terms, destination requirements and supporting documents are confirmed for the selected SKU on request.	https://pepperoni.tatar/en/products/kd-015	https://pepperoni.tatar/images/products/kd-015-main.jpg?v=5f3dbc90	https://pepperoni.tatar/images/products/kd-015-pack.jpg?v=cb9dceda	in_stock	412.00 RUB		Kazan Delicacies	4680638720615	KD-015	new	yes	420	Frozen Products > Toppings > Halal Cooked-smoked chicken breast 1 kg — Kazan Delicacies	1.000 kg		no	adult	no	RU	Kazan Delicacies	halal	frozen	Toppings		halal-#614A/2024
KD-018	Halal Breakfast sausages skinless for pastry wrap 45 g — Kazan Delicacies	Halal Breakfast sausages skinless for pastry wrap 45 g — Kazan Delicacies. SKU: KD-018. Catalog classification: Refrigerated Products / Sausages & Frankfurters. Net weight: 2 kg. Shelf life: 30 суток. Storage: 0-6 ˚C. Casing: без оболоччки. HS code: 160100. Manufacturer: Kazan Delicacies LLC, Kazan, Russia. Halal certificate DUM RT No. 614A/2024. Current availability, commercial terms, destination requirements and supporting documents are confirmed for the selected SKU on request.	https://pepperoni.tatar/en/products/kd-018	https://pepperoni.tatar/images/products/kd-018-main.jpg?v=c5791103	https://pepperoni.tatar/images/products/kd-018-pack.jpg?v=d59e38ba,https://pepperoni.tatar/images/products/kd-018-slice.jpg?v=6dcaedab	in_stock	245.00 RUB		Kazan Delicacies	4680638720585	KD-018	new	yes	5740	Refrigerated Products > Sausages & Frankfurters > Halal Breakfast sausages skinless for pastry wrap 45 g — Kazan Delicacies	2.000 kg		no	adult	no	RU	Kazan Delicacies	halal	refrigerated	Sausages & Frankfurters		halal-#614A/2024
KD-017	Halal Breakfast Sausages (80 g × 6 pcs) — Kazan Delicacies	Halal Breakfast Sausages (80 g × 6 pcs) — Kazan Delicacies. SKU: KD-017. Article: 999921. Catalog classification: Refrigerated Products / Sausages & Frankfurters. Net weight: 0.4 kg. Shelf life: 30 суток. Storage: 0-6 ˚C. Diameter: 0 mm. Casing: есть. HS code: 160100. Manufacturer: Kazan Delicacies LLC, Kazan, Russia. Halal certificate DUM RT No. 614A/2024. Current availability, commercial terms, destination requirements and supporting documents are confirmed for the selected SKU on request.	https://pepperoni.tatar/en/products/kd-017	https://pepperoni.tatar/images/products/kd-017-main.jpg?v=b494e1b2	https://pepperoni.tatar/images/products/kd-017-slice.jpg?v=6dcaedab	in_stock	135.00 RUB		Kazan Delicacies	4680638720578	999921	new	yes	5740	Refrigerated Products > Sausages & Frankfurters > Halal Breakfast Sausages (80 g × 6 pcs) — Kazan Delicacies	0.400 kg		no	adult	no	RU	Kazan Delicacies	halal	refrigerated	Sausages & Frankfurters		halal-#614A/2024
KD-019	Halal Delicate Sausages (80 g × 6 pcs) — Kazan Delicacies	Halal Delicate Sausages (80 g × 6 pcs) — Kazan Delicacies. SKU: KD-019. Article: 999976. Catalog classification: Refrigerated Products / Sausages & Frankfurters. Net weight: 0.4 kg. Shelf life: 30 суток. Storage: 0-6 ˚C. Casing: есть. HS code: 160100. Manufacturer: Kazan Delicacies LLC, Kazan, Russia. Halal certificate DUM RT No. 614A/2024. Current availability, commercial terms, destination requirements and supporting documents are confirmed for the selected SKU on request.	https://pepperoni.tatar/en/products/kd-019	https://pepperoni.tatar/images/products/kd-019-main.jpg?v=ec984c90	https://pepperoni.tatar/images/products/kd-019-slice.jpg?v=f604bdc6	in_stock	181.00 RUB		Kazan Delicacies	4680638720035	999976	new	yes	5740	Refrigerated Products > Sausages & Frankfurters > Halal Delicate Sausages (80 g × 6 pcs) — Kazan Delicacies	0.400 kg		no	adult	no	RU	Kazan Delicacies	halal	refrigerated	Sausages & Frankfurters		halal-#614A/2024
KD-020	Halal Kazan's Sausages with Milk for Breakfasts, Hot Dishes, and HORECA - Chilled — Kazan Delicacies	Halal Kazan's Sausages with Milk for Breakfasts, Hot Dishes, and HORECA - Chilled — Kazan Delicacies. SKU: KD-020. Article: 999978. Catalog classification: Refrigerated Products / Sausages & Frankfurters. Net weight: 0.4 kg. Shelf life: 30 суток. Storage: 0-6 ˚C. Casing: есть. HS code: 160100. Manufacturer: Kazan Delicacies LLC, Kazan, Russia. Halal certificate DUM RT No. 614A/2024. Current availability, commercial terms, destination requirements and supporting documents are confirmed for the selected SKU on request.	https://pepperoni.tatar/en/products/kd-020	https://pepperoni.tatar/images/products/kd-020-main.jpg?v=d4914aed	https://pepperoni.tatar/images/products/kd-020-pack.jpg?v=b0764067	in_stock	235.00 RUB		Kazan Delicacies	4680638720059	999978	new	yes	5740	Refrigerated Products > Sausages & Frankfurters > Halal Kazan's Sausages with Milk for Breakfasts, Hot Dishes, and HORECA - Chilled — Kazan Delicacies	0.400 kg		no	adult	no	RU	Kazan Delicacies	halal	refrigerated	Sausages & Frankfurters		halal-#614A/2024
KD-021	"Halal Sausages ""With Cheese"" (130 g × 5 pieces) — Kazan Delicacies"	"Halal Sausages ""With Cheese"" (130 g × 5 pieces) — Kazan Delicacies. SKU: KD-021. Article: 999975. Catalog classification: Refrigerated Products / Sausages & Frankfurters. Net weight: 0.4 kg. Shelf life: 30 суток. Storage: 0-6 ˚C. Casing: есть. HS code: 160100. Manufacturer: Kazan Delicacies LLC, Kazan, Russia. Halal certificate DUM RT No. 614A/2024. Current availability, commercial terms, destination requirements and supporting documents are confirmed for the selected SKU on request."	https://pepperoni.tatar/en/products/kd-021	https://pepperoni.tatar/images/products/kd-021-main.jpg?v=035fd35d	https://pepperoni.tatar/images/products/kd-021-pack.jpg?v=2b701481,https://pepperoni.tatar/images/products/kd-021-slice.jpg?v=23b3d285	in_stock	293.00 RUB		Kazan Delicacies	4680638720073	999975	new	yes	5740	"Refrigerated Products > Sausages & Frankfurters > Halal Sausages ""With Cheese"" (130 g × 5 pieces) — Kazan Delicacies"	0.400 kg		no	adult	no	RU	Kazan Delicacies	halal	refrigerated	Sausages & Frankfurters		halal-#614A/2024
KD-022	Halal Beef sausages for breakfast, hot dogs, and HORECA — chilled (0.4 kg) — Kazan Delicacies	Halal Beef sausages for breakfast, hot dogs, and HORECA — chilled (0.4 kg) — Kazan Delicacies. SKU: KD-022. Article: 999980. Catalog classification: Refrigerated Products / Sausages & Frankfurters. Net weight: 0.4 kg. Shelf life: 30 суток. Storage: 0-6 ˚C. Casing: есть. HS code: 160100. Manufacturer: Kazan Delicacies LLC, Kazan, Russia. Halal certificate DUM RT No. 614A/2024. Current availability, commercial terms, destination requirements and supporting documents are confirmed for the selected SKU on request.	https://pepperoni.tatar/en/products/kd-022	https://pepperoni.tatar/images/products/kd-022-main.jpg?v=d309cae9	https://pepperoni.tatar/images/products/kd-022-slice.jpg?v=0814dbbf	in_stock	284.00 RUB		Kazan Delicacies	4680638720097	999980	new	yes	5740	Refrigerated Products > Sausages & Frankfurters > Halal Beef sausages for breakfast, hot dogs, and HORECA — chilled (0.4 kg) — Kazan Delicacies	0.400 kg		no	adult	no	RU	Kazan Delicacies	halal	refrigerated	Sausages & Frankfurters		halal-#614A/2024
KD-023	Halal Chicken thigh fillet 1x1 cm cubes — Kazan Delicacies	Halal Chicken thigh fillet 1x1 cm cubes — Kazan Delicacies. SKU: KD-023. Article: 995001. Catalog classification: Refrigerated Products / Sausages & Frankfurters. Net weight: 0.4 kg. Shelf life: 30 суток. Storage: 0-6 ˚C. Casing: есть. HS code: 160100. Manufacturer: Kazan Delicacies LLC, Kazan, Russia. Halal certificate DUM RT No. 614A/2024. Current availability, commercial terms, destination requirements and supporting documents are confirmed for the selected SKU on request.	https://pepperoni.tatar/en/products/kd-023	https://pepperoni.tatar/images/products/kd-023-main.jpg?v=af801b47	https://pepperoni.tatar/images/products/kd-023-pack.jpg?v=31c50f56,https://pepperoni.tatar/images/products/kd-023-slice.jpg?v=9411fbae	in_stock	146.00 RUB		Kazan Delicacies	4680638721407	995001	new	yes	5740	Refrigerated Products > Sausages & Frankfurters > Halal Chicken thigh fillet 1x1 cm cubes — Kazan Delicacies	0.400 kg		no	adult	no	RU	Kazan Delicacies	halal	refrigerated	Sausages & Frankfurters		halal-#614A/2024
KD-024	Halal Chicken breast fillet cubes 1x1 cm — Kazan Delicacies	Halal Chicken breast fillet cubes 1x1 cm — Kazan Delicacies. SKU: KD-024. Article: 995002. Catalog classification: Refrigerated Products / Sausages & Frankfurters. Net weight: 0.4 kg. Shelf life: 30 суток. Storage: 0-6 ˚C. Casing: есть. HS code: 160100. Manufacturer: Kazan Delicacies LLC, Kazan, Russia. Halal certificate DUM RT No. 614A/2024. Current availability, commercial terms, destination requirements and supporting documents are confirmed for the selected SKU on request.	https://pepperoni.tatar/en/products/kd-024	https://pepperoni.tatar/images/products/kd-024-main.jpg?v=804a83c7	https://pepperoni.tatar/images/products/kd-024-slice.jpg?v=b813f517	in_stock	144.00 RUB		Kazan Delicacies	4680638721414	995002	new	yes	5740	Refrigerated Products > Sausages & Frankfurters > Halal Chicken breast fillet cubes 1x1 cm — Kazan Delicacies	0.400 kg		no	adult	no	RU	Kazan Delicacies	halal	refrigerated	Sausages & Frankfurters		halal-#614A/2024
KD-035	"Halal Sausages ""With Cheese"" (330 g) — Kazan Delicacies"	"Halal Sausages ""With Cheese"" (330 g) — Kazan Delicacies. SKU: KD-035. Article: 999964. Catalog classification: Refrigerated Products / Sausages & Frankfurters. Net weight: 0.3 kg. Shelf life: 30 суток. Storage: 0-6 ˚C. HS code: 160100. Manufacturer: Kazan Delicacies LLC, Kazan, Russia. Halal certificate DUM RT No. 614A/2024. Current availability, commercial terms, destination requirements and supporting documents are confirmed for the selected SKU on request."	https://pepperoni.tatar/en/products/kd-035	https://pepperoni.tatar/images/products/kd-035-main.jpg?v=672fd6db	https://pepperoni.tatar/images/products/kd-035-slice.jpg?v=12e8def1	in_stock	271.00 RUB		Kazan Delicacies	4680638720455	999964	new	yes	5740	"Refrigerated Products > Sausages & Frankfurters > Halal Sausages ""With Cheese"" (330 g) — Kazan Delicacies"	0.300 kg		no	adult	no	RU	Kazan Delicacies	halal	refrigerated	Sausages & Frankfurters		halal-#614A/2024
KD-025	Halal Beef 1st grade diced 1x1 cm — Kazan Delicacies	Halal Beef 1st grade diced 1x1 cm — Kazan Delicacies. SKU: KD-025. Article: 999998. Catalog classification: Refrigerated Products / Boiled Sausages. Net weight: 0.5 kg. Shelf life: 30 суток. Storage: 0-6 ˚C. Casing: есть. HS code: 160100. Manufacturer: Kazan Delicacies LLC, Kazan, Russia. Halal certificate DUM RT No. 614A/2024. Current availability, commercial terms, destination requirements and supporting documents are confirmed for the selected SKU on request.	https://pepperoni.tatar/en/products/kd-025	https://pepperoni.tatar/images/products/kd-025-main.jpg?v=9c105228		in_stock	292.00 RUB		Kazan Delicacies	4680638720257	999998	new	yes	5740	Refrigerated Products > Boiled Sausages > Halal Beef 1st grade diced 1x1 cm — Kazan Delicacies	0.500 kg		no	adult	no	RU	Kazan Delicacies	halal	refrigerated	Boiled Sausages		halal-#614A/2024
KD-026	Halal Boiled Assorted Sausage (0.5 kg) — Kazan Delicacies	Halal Boiled Assorted Sausage (0.5 kg) — Kazan Delicacies. SKU: KD-026. Article: 995003. Catalog classification: Refrigerated Products / Boiled Sausages. Net weight: 0.5 kg. Shelf life: 30 суток. Storage: 0-6 ˚C. Casing: есть. HS code: 160100. Manufacturer: Kazan Delicacies LLC, Kazan, Russia. Halal certificate DUM RT No. 614A/2024. Current availability, commercial terms, destination requirements and supporting documents are confirmed for the selected SKU on request.	https://pepperoni.tatar/en/products/kd-026	https://pepperoni.tatar/og-pepperoni-en.png		in_stock	197.00 RUB		Kazan Delicacies	4680638721292	995003	new	yes	5740	Refrigerated Products > Boiled Sausages > Halal Boiled Assorted Sausage (0.5 kg) — Kazan Delicacies	0.500 kg		no	adult	no	RU	Kazan Delicacies	halal	refrigerated	Boiled Sausages		halal-#614A/2024
